path,offset_sec,vstart_sec
pretrain/-FOCpMAww28/00002,-1.0,5.4
pretrain/-FOCpMAww28/00004,1.0,2.12
pretrain/-FOCpMAww28/00005,1.0,0.96
pretrain/-FOCpMAww28/00006,0.0,5.6
pretrain/-FOCpMAww28/00014,1.0,0.92
pretrain/-FOCpMAww28/00016,-1.0,6.64
pretrain/-FOCpMAww28/00020,0.0,4.04
pretrain/-FOCpMAww28/00022,-1.0,2.2
pretrain/-FOCpMAww28/00023,-1.0,3.88
pretrain/-Ht4qiDRZE8/00008,1.0,5.28
pretrain/-Ht4qiDRZE8/00009,1.0,0.0
pretrain/-Ht4qiDRZE8/00010,-1.0,2.84
pretrain/-Ht4qiDRZE8/00015,1.0,3.04
pretrain/-Ht4qiDRZE8/00016,1.0,3.88
pretrain/-Ht4qiDRZE8/00017,0.0,4.84
pretrain/-Ht4qiDRZE8/00018,-1.0,1.84
pretrain/-Ht4qiDRZE8/00020,-1.0,3.72
pretrain/-Ht4qiDRZE8/00022,-1.0,5.24
pretrain/-Ht4qiDRZE8/00027,0.0,0.76
pretrain/-Qe8cR4Jl10/00004,-1.0,2.0
pretrain/-Qe8cR4Jl10/00007,0.0,1.24
pretrain/-Qe8cR4Jl10/00008,0.0,5.2
pretrain/-Qe8cR4Jl10/00009,1.0,1.72
pretrain/-Qe8cR4Jl10/00014,-1.0,5.12
pretrain/-Qe8cR4Jl10/00017,0.0,0.4
pretrain/-Qe8cR4Jl10/00019,1.0,3.2
pretrain/-Qe8cR4Jl10/00030,0.0,3.16
pretrain/-Z-ul0GzzM4/00017,-1.0,6.28
pretrain/-Z-ul0GzzM4/00019,1.0,0.48
pretrain/-Z-ul0GzzM4/00024,0.0,6.48
pretrain/-Z-ul0GzzM4/00036,1.0,2.16
pretrain/-Z-vyLHi2us/00001,-1.0,3.2
pretrain/-Z-vyLHi2us/00002,0.0,1.4
pretrain/-Z-vyLHi2us/00003,0.0,1.84
pretrain/-Z-vyLHi2us/00004,-1.0,2.44
pretrain/-Z-vyLHi2us/00005,1.0,3.84
pretrain/-Z-vyLHi2us/00007,0.0,1.8
pretrain/-cvI1jKxlTM/00001,1.0,5.4
