path,offset_sec,vstart_sec
pretrain/00j9bKdiOjk/00001,1.0,1.3
pretrain/00j9bKdiOjk/00002,1.0,1.6
pretrain/00j9bKdiOjk/00003,1.0,1.8
pretrain/01GWGmg5jn8/00003,-1.0,2.2
pretrain/01GWGmg5jn8/00005,-1.0,1.5
pretrain/01GWGmg5jn8/00009,1.0,1.7
pretrain/01GWGmg5jn8/00011,1.0,0.7
pretrain/01GWGmg5jn8/00014,0.0,2.6
pretrain/01GWGmg5jn8/00015,-1.0,1.0
pretrain/01GWGmg5jn8/00016,1.0,1.7
pretrain/01GWGmg5jn8/00020,1.0,1.1
pretrain/01GWGmg5jn8/00021,0.0,0.2
pretrain/01GWGmg5jn8/00022,-1.0,1.6
pretrain/01GWGmg5jn8/00023,0.0,2.0
pretrain/01GWGmg5jn8/00025,0.0,0.8
pretrain/01GWGmg5jn8/00026,1.0,1.0
pretrain/01GWGmg5jn8/00032,0.0,1.1
pretrain/01GWGmg5jn8/00034,1.0,1.2
pretrain/01GWGmg5jn8/00035,1.0,0.2
pretrain/01GWGmg5jn8/00036,-1.0,1.6
pretrain/01GWGmg5jn8/00039,1.0,0.4
pretrain/01GWGmg5jn8/00040,-1.0,2.8
pretrain/01GWGmg5jn8/00042,-1.0,1.7
pretrain/01GWGmg5jn8/00043,-1.0,2.0
pretrain/01GWGmg5jn8/00044,0.0,1.9
pretrain/01GWGmg5jn8/00045,0.0,0.9
pretrain/04VbxnzUwes/00001,0.0,0.9
pretrain/04VbxnzUwes/00002,1.0,1.1
pretrain/04VbxnzUwes/00003,0.0,1.5
pretrain/04VbxnzUwes/00004,1.0,0.9
pretrain/04VbxnzUwes/00005,-1.0,2.9
pretrain/04VbxnzUwes/00006,-1.0,1.3
pretrain/04VbxnzUwes/00007,-1.0,2.7
pretrain/04VbxnzUwes/00009,0.0,2.4
pretrain/04VbxnzUwes/00012,-1.0,1.7
pretrain/04VbxnzUwes/00013,-1.0,2.2
pretrain/04VbxnzUwes/00018,1.0,1.0
pretrain/04VbxnzUwes/00021,0.0,1.5
pretrain/04VbxnzUwes/00022,-1.0,2.5
pretrain/04VbxnzUwes/00024,0.0,2.9
pretrain/04VbxnzUwes/00026,-1.0,2.0
pretrain/04VbxnzUwes/00027,-1.0,2.3
pretrain/05jJodDVJRQ/00002,-1.0,2.7
pretrain/05jJodDVJRQ/00003,-1.0,1.6
pretrain/05jJodDVJRQ/00004,-1.0,1.6
pretrain/05jJodDVJRQ/00005,0.0,0.4
pretrain/05jJodDVJRQ/00006,-1.0,1.0
pretrain/05jJodDVJRQ/00007,1.0,0.4
pretrain/05jJodDVJRQ/00008,-1.0,2.2
pretrain/05jJodDVJRQ/00009,1.0,1.2
pretrain/05jJodDVJRQ/00010,0.0,0.3
pretrain/05jJodDVJRQ/00011,0.0,0.2
pretrain/05jJodDVJRQ/00012,0.0,1.1
pretrain/05jJodDVJRQ/00013,-1.0,1.5
pretrain/05jJodDVJRQ/00014,0.0,1.5
pretrain/05jJodDVJRQ/00015,0.0,1.2
pretrain/05jJodDVJRQ/00016,-1.0,2.9
