path,offset_sec,vstart_sec
pretrain/-FOCpMAww28/00002,-0.2,0.92
pretrain/-FOCpMAww28/00004,-1.8,2.32
pretrain/-FOCpMAww28/00005,1.2,0.12
pretrain/-FOCpMAww28/00006,-0.8,3.72
pretrain/-FOCpMAww28/00014,-1.8,2.76
pretrain/-FOCpMAww28/00016,1.0,1.56
pretrain/-FOCpMAww28/00020,-2.0,3.04
pretrain/-FOCpMAww28/00022,1.0,0.88
pretrain/-FOCpMAww28/00023,1.4,0.84
pretrain/-Ht4qiDRZE8/00008,-0.6,3.16
pretrain/-Ht4qiDRZE8/00009,-2.0,2.64
pretrain/-Ht4qiDRZE8/00010,2.0,0.8
pretrain/-Ht4qiDRZE8/00015,2.0,1.8
pretrain/-Ht4qiDRZE8/00016,0.2,2.76
pretrain/-Ht4qiDRZE8/00017,-1.6,1.96
pretrain/-Ht4qiDRZE8/00018,-2.0,3.2
pretrain/-Ht4qiDRZE8/00020,0.6,1.08
pretrain/-Ht4qiDRZE8/00022,-0.2,1.48
pretrain/-Ht4qiDRZE8/00027,0.4,1.28
pretrain/-Qe8cR4Jl10/00004,-2.0,2.96
pretrain/-Qe8cR4Jl10/00007,-0.4,1.08
pretrain/-Qe8cR4Jl10/00008,-1.4,1.72
pretrain/-Qe8cR4Jl10/00009,1.0,1.04
pretrain/-Qe8cR4Jl10/00014,-0.4,3.28
pretrain/-Qe8cR4Jl10/00017,-1.8,2.52
pretrain/-Qe8cR4Jl10/00019,1.8,0.4
pretrain/-Qe8cR4Jl10/00030,0.0,1.12
pretrain/-Z-ul0GzzM4/00017,1.8,1.64
pretrain/-Z-ul0GzzM4/00019,1.2,1.2
pretrain/-Z-ul0GzzM4/00024,0.0,1.56
pretrain/-Z-ul0GzzM4/00036,1.4,0.36
pretrain/-Z-vyLHi2us/00001,-1.2,2.08
pretrain/-Z-vyLHi2us/00002,0.8,2.96
pretrain/-Z-vyLHi2us/00003,-2.0,2.36
pretrain/-Z-vyLHi2us/00004,-0.6,3.2
pretrain/-Z-vyLHi2us/00005,-1.2,2.8
